ENTIDAD;Abr;Calle;Número;Piso;Dto;CP;Ciudad;Provincia;Tel I;Tel II;Fax;Correo;Web Site
Asociación Argentina de Empresarios del Transporte Automotor -  AAETA;;Bernardo Irigoyen;Nº 330;Piso 6º;Of. 133;1072;Capital Federal;Buenos Aires;(54) (11) 4334-3254;(54) (11) 4334-3409;(54) (11) 4334-6513;info@aaeta.org.ar;http://www.aaeta.org.ar
Asociación Argentina de Franchising - AAF;;Avenida Libertador;Nº 222;Piso 7º;"""A""";1001;Capital Federal;Buenos Aires;(54) (11) 4394 - 3318;(54) (11) 9/17hs;(54) (11) 4394-8107;info@aafranchising.com.ar;http://www.aafranchising.com.ar
Asociación Civil New Argentina para la Capacitación Empresarial - NEWW Argentina;;Riobamba;Nº 863;Piso 8º;Dto. 16;1116;Capital Federal;Buenos Aires;;;;administracion@neww.org.ar;http://www.neww.org
Asociación Comerciantes en Materiales para la Construcción - ACOMAC;;Viamonte;Nº 2160;;;1056;Capital Federal;Buenos Aires;(54) (11) 4952-9393/4566-6621;(54) (11) 4567-2484;(54) (11) 4952-8574(fax)/4567-7520;acomacargentina@yahoo.com;http://
Asociación de Concesionarios de Automotores de la República Argentina - ACARA;;Lima;N° 265;Piso 3º;;1073;Capital Federal;Buenos Aires;(54) (11) 4383-2020 -127;(54) (11) 4383-2029;(54) (11) 4381-6767 Int 134;info@acara.org.ar;http://www.acara.org.ar
Asociación de Consejeros Agregados Comerciales y Económicos;;Defensa;N° 1460;;;1143;Capital Federal;Buenos Aires;(54) (11) 4361-7933;(54) (11) ;(54) (11) 4361-6610;info@elmundoenargentina.com;http://
Asociación de Entidades de Educación a Distancia y Tecnologías Educativas de la República Argentina - EDUTIC;;Carlos Pellegrini;N° 445;Piso 1°;Dto. A;1009;Capital Federal;Buenos Aires;(54) (11) 4328-3027;(54) (11) ;(54) (11) 4328-3138;edutic@eidec.com.ar;http://www.edutic.org.ar
Asociación de Fabricantes de Porcelana, Loza y Afines - AFAPOLA;;Avenida  L. N. Alem;Nº 1067;Piso 13;Of. 43;1001;Capital Federal;Buenos Aires;(54) (11) 4313-0064;;(54) (11) 4313-7544;afapola@fibertel.com.ar;http://
Asociación de la Prensa Técnica y Especializada Argentina - APTA;;Marcelo T. de Alvear;N° 976;Piso 6º;"Of. ""E""";1058;Capital Federal;Buenos Aires;(54) (11) 4328-2170;;(54) (11) 4328-2170;apta@apta.org.ar;http://www.apta.org.ar
Asociación de Radiotaxis Argentinos - AARA;;Santander;Nº 892;;;1424;Capital Federal;Buenos Aires;;;;;http://
Asociación Empresarios Cinematográficos de la Provincia de Buenos Aires;;Ayacucho;Nº 457;Piso 1º;Ofic.13;1026;Capital Federal;Buenos Aires;(54) (11) 4953-1234;;(54) (11) 4953-1234;empcinemato@infovia.com.ar;http://www.fadec.org.ar
Asociación Empresarios de Cinematógrafos - Cap. Fed.;;Ayacucho;Nº 457;Piso 1º;Ofic. 13;1026;Capital Federal;Buenos Aires;(54) (11) 4953-1234;;(54) (11) 4953-1234;empcinemato@infovia.com.ar;http://www.fadec.org.ar
Asociación Estaciones de Servicios de la República Argentina;;Belgrano;N° 3700;;;1210;Capital Federal;Buenos Aires;(54) (11) 4931-2765;(54) (11) 4957-2711;;aes@aesargentina.com;http://www.aesargentina.com
Asociación Fabricantes Artesanales de Helados y Afines - AFADHYA;;Callao;Nº 449;Piso 9º;"""D""";1022;Capital Federal;Buenos Aires;(54) (11) 4374-8159;;(54) (11) 4374-7645;heladosha@afadhya.com.ar;http://www.afadhya.com.ar
Asociación Peatonal Lavalle Nuevamente;;Lavalle;Nº 780;;;1047;Capital Federal;Buenos Aires;(54) (11) 4393-9008;(54) (11) 4322-1515;(54) (11) 4326-1596;nfeldman@cinesmultiplex.com.ar;http://
Cámara Algodonera Argentina;;Lavalle;N° 381;Piso 8°;Dto. 30;1047;Capital Federal;Buenos Aires;(54) (11) 4314-0321;;(54) (11) 4314-2492;calg@fibertel.com.ar;http://www.camaraalgodonera.com.ar
Cámara Argentina de Comerciantes de Productos Fonográficos;;Lavalle;N° 1447;Piso 3º;Of. 7;1053;Capital Federal;Buenos Aires;(54) (11) 4393-3397;(54) (11) 4322-2390;(54) (11) 4372-8097;estudiogari@fibertel.com.ar;http://
Cámara Argentina de Comerciantes en Máquinas para Coser;;Humberto Primo;N° 2425;;;1029;Capital Federal;Buenos Aires;(54) (11) 4941-0422 (9hs. a 14hs);;(54) (11) 4308-3115;camaracoser2@hotmail.com;http://
Cámara Argentina de Distribuidores de Gas Licuado - CADIGAS;;Tucumán;N° 1721;Piso 2°;Dto. A;1050;Capital Federal;Buenos Aires;(54) (11) 4371-8598;(54) (11) 4371-8611;;cadigas@itcom.com.ar;http://
Cámara Argentina de Distribuidores de Hierros y Afines - CADHYA;;Bolívar;N° 382;Piso 8º;;1066;Capital Federal;Buenos Aires;(54) (11) 4342-6048;(54) (11) 154-435-1933 (Gerente. Alicia);(54) (11) 4342-6048;cadhya@speedy.com.ar;http://
Cámara Argentina de Distribuidores y Autoservicios Mayoristas - CADAM;;Linneo;N° 1959;;;1416;Capital Federal;Buenos Aires;(54) (11) 4583-9600;(54) (11) 4583-7900;(54) (11) 4583-9600/7900;cadam@fibertel.com.ar;http://www.cadam.com.ar
Cámara Argentina de Empresarios Culturales;;Soldado de la Independencia;Nº 1258;Piso 2º;"Dpto. ""A""";1426;Capital Federal;Buenos Aires;(54) (11) 4774-8570;;(54) (11) 4774-8570;caec@fibertel.com.ar;http://www.caec.com.ar
Cámara Argentina de Empresas de Industria del Sweater;;Av. Rivadaria;Nº 7932;;;1407;Capital Federal;Buenos Aires;(54) (11) 4613-3393;(54) (11) 155-428-1631 (CEL BERGAGLIO);(54) (11) 4613-3393;info@camaradelsweater.org.ar;http://
Cámara Argentina de Empresas de Seguridad e Investigación - CAESI;;Montevideo;N° 666;Piso 3º;Of. 307;1019;Capital Federal;Buenos Aires;(54) (11) 4374-2278;(54) (11) 4374-0958;(54) (11) 4375-2722 (int. 12);caesi@fibertel.com.ar;http://www.caesi.org.ar
Cámara Argentina de Equipamiento Radiológico - CADER;;Luis Saenz Peña;Nº 250;Piso 4º;Dto. B;1110;Capital Federal;Buenos Aires;(54) (11) 4750-2247 Schmidt;(54) (11) 4383-0983 (Estudio Schmidt );(54) (11) 4750-2247 Schmidt;rayosxolivos@arnet.com.ar;http://
Cámara Argentina de Fantasías, Regalos y Afines - CAFRA;;Avenida General Luis María Campos;N° 1160;Piso 6°;Dto. D;1426;Capital Federal;Buenos Aires;(54) (11) Ofic. 5197-5310//4953-9976;(54) (11) 155-451-2031 (Cel. Wasser);(54) (11) 4382-1800;armando@arwas.com.ar;http://
Cámara Argentina de Farmacias;;Av. Bernardino Rivadavia;Nº 1615;Piso 1°;;1033;Capital Federal;Buenos Aires;(54) (11) 4374-3934;(54) (11) 4374-4220;(54) (11) 4374-3934;secrecd@caf.com.ar;http://www.caf.com.ar
Cámara Argentina de Indumentaria de Bebés y Niños - CAIBYN;;Luis María Drago;Nº 315;;;1414;Capital Federal;Buenos Aires;(54) (11) 4855-6009;(54) (11) 4855-8786;(54) (11) 4855-5560;camara@caibynindumentaria.com.ar;http://www.caibyn.com.ar
Cámara Argentina de Joyerías, Relojerías y Afines;;Talcahuano;N° 178;Piso 3º;;1013;Capital Federal;Buenos Aires;(54) (11) 4383-5815;(54) (11) 4383-1585;(54) (11) 4372-6204;info@camarajoyasyrelojes.com.ar;http://www.camarajoyasyrelojes.com.ar
Cámara Argentina de la Industria de Cosmética y Perfumería - CAPA;;Paraguay;N° 1857;;;1121;Capital Federal;Buenos Aires;(54) (11) 4813-9047;;(54) (11) 4813-9047 Int. 14;capa@capa.org.ar;http://www.capa.org.ar
Cámara Argentina de la Industria del Letrero y Afines - CAIL;;Agrelo;Nº 4049;;;1224;Capital Federal;Buenos Aires;(54) (11) 4981-8223//4981-7402;(54) (11) 4958-3053//0810-666-0634;(54) (11) 4958-3053//4981-7402;secretaria@cail.org.ar;www.cail.org.ar // www.revistaletreros.com
Cámara Argentina de Máquinas de Oficinas Comerciales y Afines - CAMOCA;;Av. Córdoba;N° 950;Piso 6°;Dpto. D;1054;Capital Federal;Buenos Aires;(54) (11) 4327-0830;(54) (11) 4327-1073;(54) (11) 4327-0830;camara@camoca.com.ar;http://www.camoca.com.ar
Cámara Argentina de Papelerías, Librerías y Afines - CAPLA;;Castro  Barros;N° 528;;;1217;Capital Federal;Buenos Aires;(54) (11) 4983-6630;(54) (11) 4983-6694;(54) (11) 4958-0722;info@capla.org.ar;http://www.capla.org.ar
Cámara Argentina de Seguridad Electrónica - CASEL;;Moreno;N° 957;Piso 7º;Dto. 4;1091;Capital Federal;Buenos Aires;(54) (11) 5128-0026/7;(54) (11) 4305-5600( Sr. Colanero);(54) (11) 4342-530;info@casel.org.ar;www.casel.org.ar
Cámara Argentina de Supermercados - CAS;;Viamonte;Nº 342;Piso 3°;;1053;Capital Federal;Buenos Aires;(54) (11) 4510-1799;;(54) (11) 4510-1798;socios@cas.com.ar;http://www.cas.com.ar
Cámara Argentina de Telecomunicaciones y Afines - CATYA;;Av. Paseo Colón;N° 588;Piso 5º;Dto. 14;1063;Capital Federal;Buenos Aires;(54) (11) 4322-0651;(54) (11) ;(54) (11) 4334-6672;info@cadieel.org.ar;http://www.cadieel.org.ar
Cámara Argentina de Video Juegos y Afines - CAVI;;Rivadavia;N°2890;Piso 7º;Dto. 602/3;1203;Capital Federal;Buenos Aires;(54) (11) 4862-1518;;(54) (11) 4861-3414(mierc y viernes a la mañana);cavi33@hotmail.com;http://
